326 1
Pseudomyrmex.elongatus T
Pseudomyrmex.ferrugineus T
Pseudomyrmex.gracilis T
Pseudomyrmex.oculatus T
Pseudomyrmex.pallidus {N:0,T:1}
Pseudomyrmex.penetrator T
Pseudomyrmex.peperi T
Pseudomyrmex.satanicus T
Pseudomyrmex.spinicola {N:0,T:1}
Pseudomyrmex.tenuis T
Pseudomyrmex.termitarius T
Rhytidoponera.chalybaea {N:1,T:0}
Rhytidoponera.mayri N
Rhytidoponera.metallica {N:1,T:0}
Solenopsis.fugax {N:0,T:1}
Solenopsis.geminata T
Solenopsis.invicta T
Solenopsis.picta {N:0,T:1}
Stenamma.brevicorne {N:1,T:0}
Stenamma.debile {N:0.18,T:0.82}
Stenamma.diecki {N:1,T:0}
Stenamma.impar {N:1,T:0}
Strumigenys.emarginata {N:0,T:1}
Strumigenys.hexamera N
Strumigenys.lewisi T
Strumigenys.louisianae T
Strumigenys.lujae {N:0.34,T:0.66}
Strumigenys.membranifera N
Strumigenys.rogeri {N:0.15,T:0.85}
Strumigenys.rostrata N
Strumigenys.serrula {N:0.23,T:0.77}
Strumigenys.solifontis T
Tapinoma.erraticum T
Tapinoma.madeirense T
Tapinoma.melanocephalum T
Tapinoma.minutum {N:0,T:1}
Tapinoma.nigerrimum T
Tapinoma.sessile T
Tapinoma.subboreale {N:0,T:1}
Technomyrmex.albipes {N:0,T:1}
Temnothorax.albipennis T
Temnothorax.ambiguus T
Temnothorax.andrei {N:0.2,T:0.8}
Temnothorax.crassispinus T
Temnothorax.curvispinosus T
Temnothorax.interruptus T
Temnothorax.longispinosus T
Temnothorax.nigriceps T
Temnothorax.nylanderi T
Temnothorax.parvulus T
Temnothorax.rugatulus T
Temnothorax.tuberum T
Temnothorax.unifasciatus T
Tetramorium.alpestre {N:0,T:1}
Tetramorium.bicarinatum T
Tetramorium.caespitum {N:0,T:1}
Tetramorium.impurum {N:0,T:1}
Tetramorium.semilaeve {N:0,T:1}
Tetramorium.simillimum {N:0,T:1}
Tetramorium.tsushimae T
Tetraponera.rufonigra T
Typhlomyrmex.rogenhoferi {N:1,T:0}
Wasmannia.auropunctata T
Xenomyrmex.floridanus T
