generation,rank_1,rank_2,swapAccepted
532000,2,4,1
533000,2,4,0
534000,2,4,0
535000,1,2,1
536000,1,4,0
537000,1,4,0
538000,1,2,1
539000,1,2,1
540000,3,4,1
541000,2,3,0
542000,2,4,0
543000,1,2,1
544000,1,3,0
545000,2,4,0
546000,1,4,1
547000,1,2,1
548000,1,2,1
549000,1,2,1
550000,1,2,1
551000,2,3,0
552000,1,3,1
553000,2,3,1
554000,1,3,1
555000,1,4,0
556000,1,2,1
557000,2,3,1
558000,2,4,1
559000,2,4,0
560000,1,4,1
561000,1,2,1
562000,1,2,1
563000,2,3,1
564000,3,4,1
565000,1,4,1
566000,1,4,1
567000,2,4,1
568000,2,4,0
569000,1,2,1
570000,2,3,1
571000,1,3,1
572000,1,4,1
573000,3,4,1
574000,3,4,1
575000,1,3,1
576000,2,3,1
577000,2,3,1
578000,3,4,1
579000,1,4,1
580000,1,3,1
581000,1,4,1
582000,2,4,1
583000,2,3,1
584000,2,3,1
585000,2,4,1
586000,1,3,1
587000,3,4,1
588000,1,2,1
589000,1,2,1
590000,2,3,0
591000,1,4,0
592000,2,4,1
593000,3,4,1
594000,3,4,1
595000,2,4,1
596000,1,3,1
597000,1,2,1
598000,3,4,1
599000,2,3,1
600000,1,3,0
601000,1,4,0
602000,2,4,1
603000,1,3,1
604000,2,4,1
605000,1,2,1
606000,3,4,1
607000,1,2,1
608000,1,4,1
609000,1,4,0
610000,1,3,1
611000,1,3,1
612000,3,4,0
613000,1,4,0
614000,1,4,0
615000,1,3,1
616000,2,3,1
617000,1,3,1
618000,3,4,1
619000,1,2,1
620000,2,4,1
621000,2,4,1
622000,1,4,1
623000,1,3,0
624000,1,4,1
625000,2,3,1
626000,3,4,1
627000,3,4,1
628000,1,3,1
629000,2,4,1
630000,2,3,1
631000,1,2,1
632000,2,3,1
633000,1,3,1
634000,2,3,1
635000,2,3,1
636000,1,4,0
637000,1,4,1
638000,1,3,1
639000,2,4,1
640000,1,2,1
641000,2,4,1
642000,2,3,1
643000,1,3,1
644000,1,3,1
645000,1,2,0
646000,1,4,1
647000,2,3,1
648000,2,3,1
649000,3,4,1
650000,1,2,1
651000,1,3,1
652000,2,3,1
653000,2,3,1
654000,2,3,1
655000,3,4,1
656000,1,3,1
657000,1,2,1
658000,3,4,0
659000,3,4,1
660000,2,4,1
661000,1,2,1
662000,2,4,1
663000,1,4,0
664000,1,3,1
665000,3,4,1
666000,1,3,1
667000,2,4,1
668000,1,4,1
669000,1,3,1
670000,1,3,1
671000,2,4,0
672000,2,4,1
673000,1,3,1
674000,1,3,1
675000,1,4,1
676000,3,4,1
677000,3,4,0
678000,3,4,1
679000,1,4,1
680000,3,4,1
681000,1,4,1
682000,1,3,1
683000,1,2,1
684000,1,2,1
685000,1,3,1
686000,1,4,1
687000,3,4,1
688000,2,3,1
689000,1,3,0
690000,1,2,0
691000,3,4,1
692000,1,2,1
