"","NodeID","Gam","Sting","Troph","Liq","Small","Medium","Large","sp1","sp2"
"701",700,0.048,0.9984,0.33,0.0472,0.3984,0.5686,0.033,"Anochetus.diegensis","Odontomachus.clarus"
"702",701,0,1,0.331,0,1,0,0,"Anochetus.diegensis",NA
"703",702,0,1,0.284,0,0,1,0,"Odontomachus.clarus",NA
"704",703,0,1,1,1,0,1,0,"Odontomachus.affinis",NA
"705",704,0,1,0.381,0,0,1,0,"Odontomachus.chelifer",NA
"706",705,0.062,0.9992,0.579,0.2772,0.371,0.5938,0.0352,"Anochetus.bequaerti","Odontomachus.opaciventris"
"707",706,0.033,0.9992,0.642,0.0298,0.9114,0.0862,0.0024,"Anochetus.bequaerti","Anochetus.kempfi"
"708",707,0,1,0.611,0,1,0,0,"Anochetus.bequaerti",NA
"709",708,0,1,1,0,1,0,0,"Anochetus.kempfi",NA
"710",709,0.062,0.9992,0.582,0.3572,0.3648,0.6004,0.0348,"Odontomachus.hastatus","Odontomachus.opaciventris"
"711",710,0,1,1,1,0,1,0,"Odontomachus.hastatus",NA
"712",711,0,1,0.636,1,0,1,0,"Odontomachus.opaciventris",NA
"713",712,0.087,0.9992,0.417,0.238,0.3514,0.61,0.0386,"Anochetus.levaillanti","Odontomachus.brunneus"
"714",713,0.077,0.9992,0.52,0.3394,0.3484,0.6062,0.0454,"Anochetus.levaillanti","Odontomachus.bauri"
"715",714,0.05,0.9998,0.542,0.3466,0.4026,0.5612,0.0362,"Anochetus.levaillanti","Odontomachus.haematodus"
"716",715,0,1,0.465,0,1,0,0,"Anochetus.levaillanti",NA
"717",716,0,1,1,1,0,1,0,"Odontomachus.haematodus",NA
"718",717,0,1,1,1,0,1,0,"Odontomachus.bauri",NA
"719",718,0.079,0.9992,0.423,0.2584,0.29,0.663,0.047,"Anochetus.faurei","Odontomachus.brunneus"
"720",719,0,1,0.459,0,0,1,0,"Anochetus.faurei",NA
"721",720,0,1,0.512,1,0,1,0,"Odontomachus.brunneus",NA
"722",721,0.111,0.9992,0.259,0.1914,0.4996,0.4628,0.0376,"Anochetus.katonae","Odontomachus.troglodytes"
"723",722,0.08,0.9992,0.236,0.0706,0.7942,0.189,0.0168,"Anochetus.katonae","Odontomachus.laticeps"
"724",723,0,1,0.239,0,1,0,0,"Anochetus.katonae",NA
"725",724,0,1,0.248,0,1,0,0,"Odontomachus.laticeps",NA
"726",725,0,1,0.533,1,0,1,0,"Odontomachus.troglodytes",NA
"727",726,0.942,0.9976,0.095,0.2136,0.5572,0.3978,0.045,"Megaponera.analis","Streblognathus.aethiopicus"
"728",727,0.939,0.9976,0.095,0.2128,0.5516,0.4028,0.0456,"Megaponera.analis","Mesoponera.caffraria"
"729",728,0.941,0.998,0.029,0.0604,0.2742,0.6596,0.0662,"Megaponera.analis","Ophthalmopone.berthoudi"
"730",729,0,1,0,0,0,1,0,"Megaponera.analis",NA
"731",730,1,1,0,0,0,1,0,"Ophthalmopone.berthoudi",NA
"732",731,0,1,1,1,1,0,0,"Mesoponera.caffraria",NA
"733",732,1,1,0,1,1,0,0,"Streblognathus.aethiopicus",NA
"734",733,0,1,1,0,0,1,0,"Brachyponera.chinensis",NA
"735",734,0.976,0.9974,0.033,0.0724,0.597,0.3456,0.0574,"Leptogenys.peuqueti","Leptogenys.schwabi"
"736",735,1,1,0,0,1,0,0,"Leptogenys.peuqueti",NA
"737",736,1,1,0,0,0,1,0,"Leptogenys.schwabi",NA
"738",737,0.243,0.9982,0.059,0.0466,0.8398,0.1402,0.02,"Myopias.concava","Myopias.julivora"
"739",738,0,1,0.138,0,1,0,0,"Myopias.concava",NA
"740",739,0,1,0.088,0,1,0,0,"Myopias.julivora",NA
"741",740,0.968,0.9964,0.035,0.0772,0.7014,0.2324,0.0662,"Dinoponera.gigantea","Hypoponera.eduardi"
"742",741,0.969,0.9968,0.032,0.084,0.736,0.2134,0.0506,"Dinoponera.gigantea","Diacamma.rugosum"
"743",742,0.969,0.9978,0.028,0.1132,0.7276,0.2268,0.0456,"Dinoponera.gigantea","Thaumatomyrmex.contumax"
"744",743,0.96,0.9984,0.032,0.4908,0.595,0.3682,0.0368,"Dinoponera.gigantea","Neoponera.obscuricornis"
"745",744,0.961,0.9984,0.039,0.4834,0.5734,0.4018,0.0248,"Dinoponera.gigantea","Pachycondyla.striata"
"746",745,0.997,0.9994,0.016,0.0516,0.9016,0.0936,0.0048,"Dinoponera.gigantea","Dinoponera.quadriceps"
"747",746,0.999,0.9998,0.007,0.0162,0.952,0.0462,0.0018,"Dinoponera.gigantea","Dinoponera.grandis"
"748",747,1,1,0,0,1,0,0,"Dinoponera.gigantea",NA
"749",748,1,1,0,0,1,0,0,"Dinoponera.grandis",NA
"750",749,1,1,0,0,1,0,0,"Dinoponera.quadriceps",NA
"751",750,0.362,0.9984,0.505,0.7898,0.312,0.661,0.027,"Pachycondyla.harpax","Pachycondyla.striata"
"752",751,0,1,0.609,1,0,1,0,"Pachycondyla.harpax",NA
"753",752,0,1,1,1,0,1,0,"Pachycondyla.striata",NA
"754",753,0.921,0.9988,0.031,0.5948,0.5538,0.41,0.0362,"Neoponera.apicalis","Neoponera.obscuricornis"
"755",754,0.28,0.9988,0.028,0.8458,0.4922,0.4706,0.0372,"Neoponera.apicalis","Neoponera.villosa"
"756",755,0.21,0.9988,0.036,0.8834,0.498,0.4704,0.0316,"Neoponera.apicalis","Neoponera.verenae"
"757",756,0,1,0,1,1,0,0,"Neoponera.apicalis",NA
"758",757,0,1,1,1,0,1,0,"Neoponera.verenae",NA
"759",758,0,1,0,1,0,1,0,"Neoponera.villosa",NA
"760",759,0.924,0.9994,0.12,0.5604,0.5594,0.4226,0.018,"Neoponera.commutata","Neoponera.obscuricornis"
"761",760,0,1,0.228,0,0,1,0,"Neoponera.commutata",NA
"762",761,1,1,0.159,1,1,0,0,"Neoponera.obscuricornis",NA
