it	posterior	likelihood	prior	accuracy	test_accuracy	acc_C0	acc_C1	acc_C2	acc_C3	acc_C4	mean_w0	std_w0	mean_w1	std_w1	mean_w2	std_w2	acc_prob	mcmc_id
270	-4277.891020733926	-3623.3304541373363	-654.5605665965894	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0037372503591258073	0.21353245880673505	-0.059143553749988496	0.22200466212149908	0.09429480836057588	0.18437064485928262	0.900990099009901	0
280	-4278.542872118033	-3623.228053877596	-655.3148182404375	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.005193801501803889	0.21836767450017702	-0.051405619298490295	0.23408725507625958	0.10192146564845078	0.18458462164613895	0.8910891089108911	0
290	-4278.877767838898	-3623.3019378084527	-655.5758300304453	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0031357652188654397	0.22029506926783982	-0.058868096824497514	0.23430144407957867	0.1030422095685473	0.18111342180592416	0.8910891089108911	0
300	-4277.462237280586	-3621.598727874648	-655.8635094059381	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.001994173895500666	0.22283466166778101	-0.04448486488380128	0.22334999149804194	0.10596681662118664	0.1813888267518352	0.8910891089108911	0
310	-4277.500767937127	-3621.4491009042476	-656.0516670328799	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.003259740925543324	0.22383344110050707	-0.057301282840558763	0.22719502855112306	0.10241290418172604	0.18438119955942142	0.8910891089108911	0
320	-4277.504382627339	-3621.307015290561	-656.1973673367772	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0015952817901698359	0.22469897030916314	-0.05768077615760134	0.22671956913588762	0.10414298214787442	0.18811252186609656	0.8811881188118812	0
330	-4278.305075035545	-3621.3143072762177	-656.990767759327	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0002500771834351975	0.22952590439421772	-0.061045039476725974	0.24145290269292685	0.10404758737175843	0.18840888119740085	0.8712871287128713	0
340	-4278.141800678849	-3620.9508521671264	-657.1909485117224	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0011309992509594875	0.23064587579543275	-0.05313629429278681	0.23936438366229185	0.10593961995111782	0.19752121848715487	0.8910891089108911	0
350	-4279.47105894655	-3621.6430521768157	-657.8280067697343	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0011940312523053755	0.23497715404234415	-0.0544896893285868	0.2382575579540929	0.10333812903256138	0.1982972380627546	0.8811881188118812	0
360	-4279.564031217802	-3621.2219500558194	-658.3420811619823	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.001141933110828958	0.23732373194437142	-0.042838233786442394	0.24733223961978493	0.10339515684322904	0.21728680559952518	0.8811881188118812	0
370	-4280.4639376064215	-3621.545159834003	-658.918777772419	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0016205554038726648	0.24094589822191867	-0.03793353934329553	0.24809999960390194	0.09958870137911321	0.2223967702212974	0.900990099009901	0
380	-4280.31044308357	-3621.174275312277	-659.1361677712929	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0021353181063027303	0.2423544842522114	-0.038161440455831516	0.2449060139806831	0.09734567192618375	0.22611531830045398	0.9207920792079208	0
390	-4280.698089317754	-3621.2723477756117	-659.4257415421425	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0049343306522346645	0.24389681421504564	-0.029914498963379367	0.24453157906055686	0.10386111713138464	0.23091422751135005	0.9306930693069307	0
400	-4281.100306716275	-3621.3494856250973	-659.7508210911769	0.2008888888888889	0.192	0.0	0.0	1.0	0.0	0.0	-0.0032557907468018592	0.24618642841206576	-0.033724610539918196	0.2444692267568046	0.10047199948708907	0.22773739334590726	0.9207920792079208	0
410	-4282.179085061282	-3622.0625954143516	-660.1164896469309	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	-0.001952557350451032	0.24833593644640375	-0.029082505610682673	0.25026490321814127	0.1081869135812774	0.2235036289329909	0.9108910891089109	0
420	-4282.341298043915	-3621.8998715167436	-660.4414265271721	0.188	0.176	0.0	0.0	0.9358407079646017	0.0	0.0	0.00012261417605454462	0.2501192223440167	-0.02752750589684819	0.2513869299743481	0.11261400706085037	0.22663007962711681	0.900990099009901	0
430	-4282.310954869393	-3621.4323796171066	-660.8785752522863	0.11333333333333333	0.136	0.0	0.0	0.32964601769911506	0.0	0.23873873873873874	4.5057867910569537e-05	0.2529693166792077	-0.0341486367165899	0.25696348097454463	0.10414311276024654	0.22147093851063324	0.8910891089108911	0
440	-4282.549643911072	-3621.0395496599513	-661.5100942511212	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	-0.00036732568690125354	0.2558602622809574	-0.03336186233907317	0.26921096093056296	0.10122301815595844	0.2346064709765754	0.8910891089108911	0
450	-4283.993420056251	-3621.4464068567086	-662.5470131995421	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.0023343052734350897	0.2613401646006907	-0.037040255958417034	0.27850077295128944	0.1081260854652178	0.24018864898864764	0.900990099009901	0
460	-4284.638081049885	-3621.7558250536736	-662.8822559962117	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.0019383393792343259	0.2627361651453666	-0.0407253543313918	0.28752858268497117	0.10577662590898207	0.24591443127725549	0.8910891089108911	0
470	-4284.834154917706	-3621.4448158838104	-663.3893390338957	0.19733333333333333	0.224	0.0	0.0	0.0	0.0	1.0	0.0006019238394823434	0.26537986742772224	-0.04600647838776632	0.285258295964018	0.10821592112538422	0.2544535842485764	0.8811881188118812	0
