species	GamOvSt	sting	eat_sug_liq	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	colonySize	min_temp	max_temp	min_hum	max_hum
Dolichoderus.thoracicus	1	0	1	-0.299820678870919	-0.752541139873117	-4.8712270264223	-1.12791335178244	2.95925317044846	0.82338592277472	0.0770101175193227	-0.246084502292784	-1.66790027044192	0.34361981607464	0.0902004906995357	2	0.746153846153846	0.913333333333333	0.339090909090909	0.455909090909091
Dorylus.laevigatus	1	1	0	-0.294648720921222	-0.868240699860547	-1.88397269099017	0.883324553634553	-4.5619671912101	1.82256111039518	0.127023484255398	-0.243927869609721	-1.28957865351135	-0.416389522723537	0.0165995291837994	2	0.75	0.913333333333333	0.621212121212121	0.459204545454545
Ectatomma.ruidum	1	1	1	-0.381008699905093	-0.0214653292669331	-1.1950029356829	0.473672295713063	-1.24871044734692	-2.55502296854993	-0.57305817019311	0.599576436236383	2.30991801924058	2.03796786783046	8.88484335938923	0	0.334615384615385	0.966666666666667	0.155151515151515	1.01079545454545
Eurhopalothrix.biroi	1	1	0	-1.54727045586348	1.49928001379556	0.753174716782013	-0.140040269799288	0.35318572866328	1.04780280006413	0.434399142828833	2.01487847889814	-0.053062163130731	-0.0106675437677364	-0.0564909447417797	0	0.761538461538462	0.846666666666667	0.562727272727273	0.479545454545455
Eurhopalothrix.heliscata	1	1	0	-1.54727045586556	1.4992800137982	0.753174716785	-0.140040269800179	0.353185728665633	1.0478028000727	0.434399142832527	2.01487847891692	-0.0530621631312477	-0.0106675437678574	-0.0564909447424063	1	0.85	0.736666666666667	0.747272727272727	0.280227272727273
Forelius.damiani	1	0	1	-0.302593827186304	-0.761734219049993	-5.0097968839241	-1.18149026307829	3.10833585520652	0.87557261879681	0.0821237688591803	-0.26421291505754	-1.79662289301755	0.37407176922242	0.09847642947716	0	0.657692307692308	0.933333333333333	0.183333333333333	0.458636363636364
Formica.cinerea	1	0	1	2.61371375141356	0.55678048620224	0.421090477953277	3.426104720257	1.22190849930857	1.37070931818292	-2.91991927237157	0.0454434108274427	0.0913960478759347	-0.00666284685391583	-0.0268621075727716	2	0.0423076923076923	0.506666666666667	0.144545454545455	0.155
Formica.exsecta	1	0	1	2.56926171315231	0.544356293224587	0.39997304844663	3.15054857036559	1.11829986107535	1.22832894436937	-2.60408981991114	0.0400690079613347	0.0801506652430063	-0.00574233738628653	-0.0230430879867414	2	-0.25	0.453333333333333	0.0733333333333333	0.236818181818182
Formica.fusca	1	0	1	2.56677821122275	0.54360120990966	0.398125071083843	3.11785120265467	1.10552065796287	1.20776658192151	-2.55693680098188	0.039203702396481	0.0782766827065097	-0.00557206809579023	-0.0223176002077222	1	-0.0653846153846154	0.61	0.0866666666666667	0.232613636363636
Formica.glacialis	1	0	1	2.61339175210275	0.55669040420069	0.4209366013823	3.42408566774957	1.2211487245445	1.36966149291321	-2.91759309499752	0.0454037508670677	0.0913129879535403	-0.00665602809130533	-0.0268337958585906	2	0.0615384615384615	0.333333333333333	0.20969696969697	0.156931818181818
Formica.japonica	1	0	1	2.56926171315231	0.544356293224587	0.39997304844663	3.15054857036559	1.11829986107535	1.22832894436937	-2.60408981991114	0.0400690079613337	0.0801506652430053	-0.00574233738628667	-0.0230430879867413	2	0.226923076923077	0.64	0.213030303030303	0.381363636363636
Formica.lugubris	1	0	1	2.5801344898177	0.547318093005427	0.404291611687577	3.19598177004597	1.13476438511621	1.24712397598878	-2.64381083032038	0.0406644443683743	0.0813153460260647	-0.00581604522349167	-0.0233244091796706	2	-0.126923076923077	0.523333333333333	0.127878787878788	0.232613636363636
Formica.obscuripes	1	0	1	2.61504021250837	0.557150727549933	0.421715328282037	3.43419526183177	1.22494712201143	1.37486458630809	-2.92912633933792	0.045599677636425	0.0917226169447883	-0.0066894743421781	-0.0269724650523653	2	-0.0423076923076923	0.57	0.0554545454545455	0.31375
Formica.paralugubris	1	0	1	2.56760353634483	0.543833505737487	0.398533266877547	3.12333781710722	1.1075912534515	1.21065333185515	-2.56335844570237	0.0393136470202267	0.078507327103039	-0.00559107899851713	-0.0223965915250494	2	0.0576923076923077	0.296666666666667	0.196666666666667	0.162727272727273
